"","metric_group","metric_group_group","folder","score_type_rich","source","data_focus","N","score","sd","se","ci"
"73","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","glasgow_2_in","All",3,1,0,0,0
"74","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","glasgow_2_in","Worst 5%",1,1,NA,NA,NA
"75","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","glasgow_3_in","All",1,1,NA,NA,NA
"76","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","glasgow_3_in","Worst 5%",1,1,NA,NA,NA
"77","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","glasgow_in","All",1,0.999986691509183,NA,NA,NA
"78","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","glasgow_in","Worst 5%",1,0.999986691509183,NA,NA,NA
"79","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","granada","All",7,1,0,0,0
"80","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","granada","Worst 5%",1,1,NA,NA,NA
"81","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","inverness","All",11,1,0,0,0
"82","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","inverness","Worst 5%",1,1,NA,NA,NA
"83","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","limoux","All",6,0.999979955902987,4.90978100377506e-05,2.00440970134312e-05,5.15249916944582e-05
"84","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","limoux","Worst 5%",1,0.999879735417919,NA,NA,NA
"85","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","madrid","All",6,1,0,0,0
"86","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","madrid","Worst 5%",1,1,NA,NA,NA
